"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C66,C95,C26,C49,C28,C67,C55,C29,C33,C22,C48,C54,C19,C34,C30,C58,C41,C42,C20,C45,C46,C39,C18,C93,C47,C32,C21,C25,C27,C88,C35";"C_0402_1005Metric";31;"100n";;;
2;"C23,C24,C61,C60";"C_0402_1005Metric";4;"24pf";;;
3;"U3";"IC_BNO085";1;"BNO085";;;
4;"J9,J1,J10,J11";"PinHeader_1x03_P2.54mm_Vertical";4;"Conn_01x03_Socket";;;
5;"R45,R48,R46,R47,R49,R44";"R_0402_1005Metric";6;"R";;;
6;"R21,R14,R22,R17";"R_0603_1608Metric";4;"4.7k";;;
7;"TP13,TP9,TP14,TP6,TP11,TP10,TP16,TP15,TP5,TP8,TP12";"TestPoint_Pad_1.0x1.0mm";11;"TestPoint";;;
8;"URpiZero1,UCM4";"PinSocket_2x20_P2.54mm_Vertical_SMD";2;"~";;;
9;"R10,R18,R28";"R_0402_1005Metric";3;"100k";;;
10;"Q2,Q4,Q3";"TRANS_BSZ100N06LS3_G";3;"BSZ100N06LS3_G";;;
11;"C53,C92,C90,C94";"C_0402_1005Metric";4;"10u";;;
12;"R6,R32,R8,R1";"R_0402_1005Metric";4;"100Ω";;;
13;"J14";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
14;"J17";"HRS_U.FL-R-SMT_01_";1;"U.FL-R-SMT_01_";;;
15;"U5";"LGA-8_3x5mm_P1.25mm";1;"MS5611-01BA";;;
16;"C37";"C_0603_1608Metric";1;"10u";;;
17;"C91,C86,C89";"C_0402_1005Metric";3;"22u";;;
18;"C84,C85";"C_0402_1005Metric";2;"10pf";;;
19;"L11,L10,L9";"WE-XHMA_6060";3;"6.8 µH";;;
20;"R34,R33";"R_0402_1005Metric";2;"22";;;
21;"J5,J3,J4";"CUI_TB002-500-02BE";3;"Conn_01x02";;;
22;"Y1,Y3";"TSX-3225";2;"24mhz";;;
23;"C31";"C_0402_1005Metric";1;"10uf";;;
24;"J6";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Conn_01x05_Pin";;;
25;"IC2";"114993390";1;"114993390";;;
26;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
27;"U4";"PQFN50P300X250X97-14N";1;"ICM-42688-P";;;
28;"U11,U12,U13";"PWP14_2P31X2P46_TEX";3;"TPS54525PWPR";;;
29;"C36,C38,C56";"C_0603_1608Metric";3;"100n";;;
30;"IC1";"SOIC127P1032X264-16N";1;"W25Q128JVFIQ";;;
31;"R15,R2,R7,R9,R11,R5,R29,R12,R27";"R_0402_1005Metric";9;"10k";;;
32;"R3,R4";"R_0402_1005Metric";2;"1k5";;;
33;"U1";"QFP50P2200X2200X160-144N";1;"STM32H753ZIT6";;;
34;"C3,C2";"C_0805_2012Metric";2;"22u";;;
35;"C59";"C_0402_1005Metric";1;"10n";;;
36;"Y4";"Crystal_SMD_2012-2Pin_2.0x1.2mm";1;"Crystal";;;
37;"IC7";"A121001TR";1;"A121-001-T&R";;;
38;"D2";"LED_0402_1005Metric";1;"LED";;;
39;"C1";"C_0402_1005Metric";1;"10uF";;;
40;"J7";"MOLEX_532610471";1;"532610471";;;
41;"C40,C17";"C_0402_1005Metric";2;"2.2u";;;
42;"J18";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
43;"U7";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"TXS0108EPW";;;
44;"FB1";"IND_GZ1608_SNL";1;"120R";;;
45;"D3";"SOT-23";1;"BAT54A";;;
46;"J12";"JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal";1;"Conn_01x02";;;
47;"U10";"XCVR_MAX-M10S-00B";1;"MAX-M10S-00B";;;
48;"J8";"AMASS_XT30U-M_1x02_P5.0mm_Vertical";1;"Conn_01x02_Pin";;;
49;"R20,R19";"R_0603_1608Metric";2;"10k";;;
50;"J2";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Pin";;;
